Garden,WholePlotID,SplitPlotID,PlantID,Cyanotype,Cyanogenesis,Ac_ac,Li_li,Precipitation,Herbivores,Survived21,Flowered21,Seeded21,FlowerHeadNumber21,SeedSetMass21,MaxArea21,GrowthRate21,Herbivory21,SurvivedWinter,Survived22,Flowered22,Seeded22,FlowerHeadNumber22,SeedSetMass22,MaxArea22,GrowthRate22,Herbivory22
Louisiana,2,1,3,acLi,Acyanogenic,ac,Li,Control,Control,1,1,1,24,0.2231,124.4,0.029435756,NA,NA,1,1,1,107,0.9254,1071.4,NA,2.266666667
Louisiana,2,1,4,Acli,Acyanogenic,Ac,li,Control,Control,1,0,0,0,0,52.67,0.029574456,NA,NA,0,1,0,1,0,432.78,NA,NA
Louisiana,2,2,1,acLi,Acyanogenic,ac,Li,Reduced,Control,0,0,0,0,0,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2,2,2,Acli,Acyanogenic,Ac,li,Reduced,Control,1,1,0,1,0,134.49,0.005985628,NA,NA,1,1,1,167,0.7476,1967.85,NA,7.133333333
Louisiana,2,2,3,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,136.99,0.012714789,NA,NA,1,1,1,53,0.3685,1279.25,NA,2.533333333
Louisiana,2,2,4,acLi,Acyanogenic,ac,Li,Reduced,Control,1,0,0,0,0,87.4,0.013848123,NA,NA,1,1,1,5,0.0272,678.38,NA,11.13333333
Louisiana,3,1,1,Acli,Acyanogenic,Ac,li,Control,Control,0,0,0,0,0,38.61,0.065320072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,3,1,2,acli,Acyanogenic,ac,li,Control,Control,1,0,0,0,0,176.21,0.04858422,NA,NA,1,1,1,31,0.1521,3032.9,0.004511187,8.2
Louisiana,3,1,3,acLi,Acyanogenic,ac,Li,Control,Control,1,0,0,0,0,149.73,0.032146187,NA,NA,1,1,1,46,0.0811,589.93,7.11E-05,25.93333333
Louisiana,3,1,4,acli,Acyanogenic,ac,li,Control,Control,1,0,0,0,0,138.64,0.022179377,NA,NA,1,1,1,55,0.1749,1996.76,NA,5.666666667
Louisiana,3,2,1,acLi,Acyanogenic,ac,Li,Reduced,Control,0,0,0,0,0,12.3,0.097597958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,3,2,2,acli,Acyanogenic,ac,li,Reduced,Control,1,0,0,0,0,106.69,0.038833086,NA,NA,1,1,1,67,0.1701,1370.48,0.001952776,8.466666667
Louisiana,3,2,3,acli,Acyanogenic,ac,li,Reduced,Control,1,1,1,13,0.0069,298.05,0.011014661,NA,NA,1,1,1,90,0.1113,1334.33,NA,NA
Louisiana,3,2,4,Acli,Acyanogenic,Ac,li,Reduced,Control,1,0,0,0,0,101.32,0.038923807,NA,NA,1,1,1,97,0.5577,1018.73,NA,2.2
Louisiana,4,1,1,acli,Acyanogenic,ac,li,Control,Reduced,1,1,0,2,0,239.46,0.029525513,NA,NA,NA,1,0,1,0,NA,NA,NA
Louisiana,4,1,2,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,16,0.0152,243.68,0.026249956,NA,NA,0,1,1,82,2.1033,1397.52,NA,7.8
Louisiana,4,1,3,acLi,Acyanogenic,ac,Li,Control,Reduced,1,0,0,0,0,69.24,0.021193114,NA,NA,1,1,1,49,0.6354,1593.78,NA,7.733333333
Louisiana,4,1,4,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,14,0.0278,352.65,0.024972912,NA,NA,1,1,1,177,2.7764,1888.6,NA,5.733333333
Louisiana,4,2,1,Acli,Acyanogenic,Ac,li,Reduced,Control,1,0,0,0,0,31.62,0.074198065,NA,NA,NA,1,1,30,0.5092,NA,NA,NA
Louisiana,4,2,2,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,0,1,0,113.53,0.015513863,NA,NA,1,1,1,144,3.0916,1600.54,NA,2.666666667
Louisiana,4,2,3,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,1,0,1,0,141.17,0.058355797,NA,NA,0,1,1,103,0.2327,2682.81,NA,NA
